Target  ▾	RA	DEC	Sp. Type	T_eff [K]	B [mag]	V [mag]	G [mag]	Dist [pc]	Explore data	Data products (ascii)	Data products (csv)
BD+053829	18:37:05.2146	+05:17:31.620	G5	4872.9	10.930	9.830	9.404	476.64	GLS Plot	BD+053829_harps_all-data_v1.dat	BD+053829_harps_all-data_v1.csv
BD+053835	18:37:30.2983	+05:12:15.716	G5	4728.8	10.850	9.770	9.429	476.58	GLS Plot	BD+053835_harps_all-data_v1.dat	BD+053835_harps_all-data_v1.csv
BD+072351	10:44:37.6008	+06:20:00.851	G5	5270.7	10.720	9.830	9.651	66.58	GLS Plot	BD+072351_harps_all-data_v1.dat	BD+072351_harps_all-data_v1.csv
BD+072474	11:43:38.0162	+06:33:49.419	G0	5339.0	11.150	10.410	nan	nan	GLS Plot	BD+072474_harps_all-data_v1.dat	BD+072474_harps_all-data_v1.csv
BD+101802	08:27:35.5566	+10:30:23.565	M0III	4228.5	11.430	9.950	9.253	1291.66	GLS Plot	BD+101802_harps_all-data_v1.dat	BD+101802_harps_all-data_v1.csv
BD+144559	21:13:35.9900	+14:41:21.784	K5	4869.2	nan	nan	9.351	49.42	GLS Plot	BD+144559_harps_all-data_v1.dat	BD+144559_harps_all-data_v1.csv
BD+20594	03:34:36.2291	+20:35:57.269	K0	5456.8	11.770	10.850	10.864	180.38	GLS Plot	BD+20594_harps_all-data_v1.dat	BD+20594_harps_all-data_v1.csv
BD+23527	03:46:53.7461	+23:35:00.798	G0V	5642.8	11.100	10.600	10.383	134.94	GLS Plot	BD+23527_harps_all-data_v1.dat	BD+23527_harps_all-data_v1.csv
BD-013943	20:18:09.3209	-01:04:32.610	F9	5604.0	10.390	9.750	9.572	149.85	GLS Plot	BD-013943_harps_all-data_v1.dat	BD-013943_harps_all-data_v1.csv
BD-053461	12:15:48.4847	-06:24:11.087	N/A	5756.0	11.150	10.420	10.301	377.67	GLS Plot	BD-053461_harps_all-data_v1.dat	BD-053461_harps_all-data_v1.csv
BD-055432	21:00:06.1969	-05:05:40.037	N/A	4875.2	10.930	9.870	9.485	50.03	GLS Plot	BD-055432_harps_all-data_v1.dat	BD-055432_harps_all-data_v1.csv
BD-073537	13:04:05.9881	-08:04:27.839	N/A	5637.1	11.160	10.560	10.330	231.19	GLS Plot	BD-073537_harps_all-data_v1.dat	BD-073537_harps_all-data_v1.csv
BD-07436B	02:28:37.3244	-07:03:41.286	K5	N/A	nan	13.400	11.836	105.72	GLS Plot	BD-07436B_harps_all-data_v1.dat	BD-07436B_harps_all-data_v1.csv
BD-096003	22:33:28.4131	-09:01:21.977	N/A	4860.0	11.915	10.872	10.596	310.13	GLS Plot	BD-096003_harps_all-data_v1.dat	BD-096003_harps_all-data_v1.csv
BD-114672	18:33:28.8322	-11:38:09.721	K7V	N/A	11.210	9.990	9.485	27.19	GLS Plot	BD-114672_harps_all-data_v1.dat	BD-114672_harps_all-data_v1.csv
BD-122361	08:09:47.8147	-12:54:14.004	N/A	4839.0	11.440	10.440	10.201	879.58	GLS Plot	BD-122361_harps_all-data_v1.dat	BD-122361_harps_all-data_v1.csv
BD-122371	08:10:15.1831	-12:50:41.105	N/A	5014.9	11.640	10.650	10.415	1288.66	GLS Plot	BD-122371_harps_all-data_v1.dat	BD-122371_harps_all-data_v1.csv
BD-136424	23:32:30.8615	-12:15:51.465	M0Ve	4058.7	12.380	10.639	9.818	27.37	GLS Plot	BD-136424_harps_all-data_v1.dat	BD-136424_harps_all-data_v1.csv
BD-156276	22:48:07.5636	-14:29:40.842	?+M4-7	5390.0	11.970	11.190	10.928	139.22	GLS Plot	BD-156276_harps_all-data_v1.dat	BD-156276_harps_all-data_v1.csv
BD-15705	04:02:16.4850	-15:21:29.807	K3/4	4881.6	11.190	10.024	9.753	54.84	GLS Plot	BD-15705_harps_all-data_v1.dat	BD-15705_harps_all-data_v1.csv
BD-184705	17:56:51.9898	-19:00:03.443	N/A	4098.0	11.090	9.620	8.989	732.28	GLS Plot	BD-184705_harps_all-data_v1.dat	BD-184705_harps_all-data_v1.csv
BD-184710	17:57:03.1667	-18:59:13.933	N/A	4253.7	10.710	9.420	8.951	742.83	GLS Plot	BD-184710_harps_all-data_v1.dat	BD-184710_harps_all-data_v1.csv
BD-194341	16:14:13.8183	-19:39:36.253	K0IV	4963.8	10.330	9.610	9.312	159.25	GLS Plot	BD-194341_harps_all-data_v1.dat	BD-194341_harps_all-data_v1.csv
BD-202976	09:39:30.0860	-20:58:56.877	F9V	5981.0	9.940	9.350	9.257	114.55	GLS Plot	BD-202976_harps_all-data_v1.dat	BD-202976_harps_all-data_v1.csv
BD-221092	05:22:43.9929	-21:54:04.052	N/A	5682.1	nan	nan	10.299	120.28	GLS Plot	BD-221092_harps_all-data_v1.dat	BD-221092_harps_all-data_v1.csv
CD-2312854	16:21:45.7780	-23:32:52.289	G7V	5267.5	11.630	10.800	10.537	110.87	GLS Plot	CD-2312854_harps_all-data_v1.dat	CD-2312854_harps_all-data_v1.csv
CD-2412030	15:23:32.9582	-25:22:14.670	N/A	5550.3	10.250	9.460	9.494	85.58	GLS Plot	CD-2412030_harps_all-data_v1.dat	CD-2412030_harps_all-data_v1.csv
CD-2510553	14:49:33.2543	-26:06:20.808	M1.5V	N/A	13.110	11.620	10.791	20.72	GLS Plot	CD-2510553_harps_all-data_v1.dat	CD-2510553_harps_all-data_v1.csv
CD-2514757	20:25:18.9069	-24:48:45.508	N/A	5572.0	11.650	10.900	10.641	121.05	GLS Plot	CD-2514757_harps_all-data_v1.dat	CD-2514757_harps_all-data_v1.csv
CD-261407	03:44:01.2459	-26:32:15.281	N/A	6250.2	11.377	10.860	10.771	301.40	GLS Plot	CD-261407_harps_all-data_v1.dat	CD-261407_harps_all-data_v1.csv
CD-281745	04:47:22.6810	-27:50:29.311	M0V	4055.0	11.450	10.070	9.250	15.67	GLS Plot	CD-281745_harps_all-data_v1.dat	CD-281745_harps_all-data_v1.csv
CD-287411	09:34:40.4580	-29:00:33.593	N/A	5624.8	10.950	10.390	10.166	102.53	GLS Plot	CD-287411_harps_all-data_v1.dat	CD-287411_harps_all-data_v1.csv
CD-301812	04:25:29.0168	-30:36:01.610	F5	6632.0	10.450	10.040	9.972	248.45	GLS Plot	CD-301812_harps_all-data_v1.dat	CD-301812_harps_all-data_v1.csv
CD-3019757	23:58:14.7745	-29:36:29.986	N/A	6273.0	11.290	10.810	10.597	280.07	GLS Plot	CD-3019757_harps_all-data_v1.dat	CD-3019757_harps_all-data_v1.csv
CD-306011	08:18:19.1770	-30:32:58.429	G5	4810.1	11.980	10.870	10.411	1919.02	GLS Plot	CD-306011_harps_all-data_v1.dat	CD-306011_harps_all-data_v1.csv
CD-306015	08:18:26.4379	-30:39:30.376	N/A	4777.4	12.240	11.140	10.840	2041.65	GLS Plot	CD-306015_harps_all-data_v1.dat	CD-306015_harps_all-data_v1.csv
CD-312415	05:23:25.2029	-31:16:34.982	N/A	4780.3	11.583	10.545	10.295	875.04	GLS Plot	CD-312415_harps_all-data_v1.dat	CD-312415_harps_all-data_v1.csv
CD-329927	14:11:46.3240	-33:03:14.379	A4	7337.3	10.793	10.444	10.391	383.46	GLS Plot	CD-329927_harps_all-data_v1.dat	CD-329927_harps_all-data_v1.csv
CD-332771	06:10:16.4804	-33:21:20.892	K5III+K5V	3998.8	11.340	9.860	9.235	1227.60	GLS Plot	CD-332771_harps_all-data_v1.dat	CD-332771_harps_all-data_v1.csv
CD-337795B	11:31:55.2500	-34:36:25.200	M8.5/9e	3946.6	nan	20.400	nan	nan	GLS Plot	CD-337795B_harps_all-data_v1.dat	CD-337795B_harps_all-data_v1.csv
CD-348618	13:04:10.5340	-35:32:58.321	N/A	7074.9	10.930	10.520	10.579	428.41	GLS Plot	CD-348618_harps_all-data_v1.dat	CD-348618_harps_all-data_v1.csv
CD-381059	03:12:27.3492	-38:06:05.169	G5	5723.0	10.570	9.880	9.754	131.52	GLS Plot	CD-381059_harps_all-data_v1.dat	CD-381059_harps_all-data_v1.csv
CD-383745	07:51:56.0037	-38:36:50.469	N/A	4944.0	11.814	10.853	10.559	1527.18	GLS Plot	CD-383745_harps_all-data_v1.dat	CD-383745_harps_all-data_v1.csv
CD-383754	07:52:17.8469	-38:33:24.911	G8II	4547.5	11.988	10.811	10.411	1591.09	GLS Plot	CD-383754_harps_all-data_v1.dat	CD-383754_harps_all-data_v1.csv
CD-426963	11:25:16.1744	-43:14:24.077	N/A	4812.0	11.930	10.780	10.482	1075.15	GLS Plot	CD-426963_harps_all-data_v1.dat	CD-426963_harps_all-data_v1.csv
CD-452997	07:11:29.0424	-46:11:55.604	N/A	5345.0	11.460	10.740	10.512	105.31	GLS Plot	CD-452997_harps_all-data_v1.dat	CD-452997_harps_all-data_v1.csv
CD-461064	03:30:49.1011	-45:55:57.364	K3V	4700.9	10.670	9.622	9.380	43.92	GLS Plot	CD-461064_harps_all-data_v1.dat	CD-461064_harps_all-data_v1.csv
CD-4911401	17:24:41.5352	-49:59:06.472	N/A	4726.6	11.401	10.363	10.030	920.39	GLS Plot	CD-4911401_harps_all-data_v1.dat	CD-4911401_harps_all-data_v1.csv
CD-4911402	17:24:46.7175	-49:54:06.990	N/A	4777.4	12.027	10.894	10.574	903.67	GLS Plot	CD-4911402_harps_all-data_v1.dat	CD-4911402_harps_all-data_v1.csv
CD-4911404	17:24:50.0711	-49:56:56.080	N/A	4619.2	11.500	10.700	10.534	879.35	GLS Plot	CD-4911404_harps_all-data_v1.dat	CD-4911404_harps_all-data_v1.csv
CD-4911410	17:24:57.7598	-50:01:32.957	N/A	4759.3	11.890	10.780	10.371	nan	GLS Plot	CD-4911410_harps_all-data_v1.dat	CD-4911410_harps_all-data_v1.csv
CD-4911415	17:24:54.1499	-49:53:07.523	N/A	4492.2	11.760	10.440	9.956	854.26	GLS Plot	CD-4911415_harps_all-data_v1.dat	CD-4911415_harps_all-data_v1.csv
CD-50714	02:27:06.0977	-50:17:04.312	N/A	5990.1	10.740	10.140	10.027	158.69	GLS Plot	CD-50714_harps_all-data_v1.dat	CD-50714_harps_all-data_v1.csv
CD-52381	01:52:14.6258	-52:19:33.185	K2V(e)	4890.6	11.836	10.953	10.610	86.30	GLS Plot	CD-52381_harps_all-data_v1.dat	CD-52381_harps_all-data_v1.csv
CD-535815	15:02:54.1050	-54:12:51.496	N/A	N/A	10.940	9.720	9.339	787.53	GLS Plot	CD-535815_harps_all-data_v1.dat	CD-535815_harps_all-data_v1.csv
CD-535820	15:03:15.8334	-54:16:39.163	N/A	4581.1	10.910	9.690	9.304	813.60	GLS Plot	CD-535820_harps_all-data_v1.dat	CD-535820_harps_all-data_v1.csv
CD-535829	15:03:50.0102	-54:14:30.308	N/A	4851.9	11.330	10.260	9.953	813.54	GLS Plot	CD-535829_harps_all-data_v1.dat	CD-535829_harps_all-data_v1.csv
CD-536474	16:12:56.9037	-54:13:13.514	K2Ib	4100.0	10.595	8.753	8.104	1796.95	GLS Plot	CD-536474_harps_all-data_v1.dat	CD-536474_harps_all-data_v1.csv
CD-546002	15:04:30.5179	-54:35:48.844	N/A	4817.1	11.510	10.470	10.150	836.40	GLS Plot	CD-546002_harps_all-data_v1.dat	CD-546002_harps_all-data_v1.csv
CD-546003	15:04:30.3795	-54:31:44.812	N/A	4348.2	10.800	9.470	9.034	814.27	GLS Plot	CD-546003_harps_all-data_v1.dat	CD-546003_harps_all-data_v1.csv
CD-551709	07:10:31.2560	-55:58:18.712	N/A	6511.5	10.660	10.240	10.100	nan	GLS Plot	CD-551709_harps_all-data_v1.dat	CD-551709_harps_all-data_v1.csv
CD-567708	19:25:58.5351	-56:33:36.499	G5V+DA1.0	5509.5	11.370	10.571	10.414	130.90	GLS Plot	CD-567708_harps_all-data_v1.dat	CD-567708_harps_all-data_v1.csv
CD-60370	01:54:31.1977	-59:30:34.727	N/A	5727.0	11.241	10.599	10.504	214.57	GLS Plot	CD-60370_harps_all-data_v1.dat	CD-60370_harps_all-data_v1.csv
CD-8028	01:05:38.2160	-80:03:40.695	K2	5126.9	10.980	10.250	9.905	400.21	GLS Plot	CD-8028_harps_all-data_v1.dat	CD-8028_harps_all-data_v1.csv
CD-8480	07:30:59.4435	-84:19:27.687	G9V	5151.0	10.820	9.980	9.679	69.16	GLS Plot	CD-8480_harps_all-data_v1.dat	CD-8480_harps_all-data_v1.csv
CoRoT-13	06:50:53.0726	-05:05:11.190	G0V	5305.4	15.330	15.039	14.915	1184.97	GLS Plot	CoRoT-13_harps_all-data_v1.dat	CoRoT-13_harps_all-data_v1.csv
CoRoT-22	18:42:40.1113	+06:13:08.983	G8V	N/A	14.740	13.944	13.731	638.49	GLS Plot	CoRoT-22_harps_all-data_v1.dat	CoRoT-22_harps_all-data_v1.csv
CoRoT-24	06:47:41.4116	-03:43:09.483	N/A	5026.2	nan	nan	15.180	601.21	GLS Plot	CoRoT-24_harps_all-data_v1.dat	CoRoT-24_harps_all-data_v1.csv
CoRoT-25	18:42:31.1200	+06:30:49.746	N/A	5018.0	15.840	15.020	14.711	1137.79	GLS Plot	CoRoT-25_harps_all-data_v1.dat	CoRoT-25_harps_all-data_v1.csv
CoRoT-32	06:40:46.8401	+09:15:26.693	K0V	5740.6	14.400	13.720	13.587	586.20	GLS Plot	CoRoT-32_harps_all-data_v1.dat	CoRoT-32_harps_all-data_v1.csv
CoRoT-7	06:43:49.4690	-01:03:46.825	K0V	5101.2	12.780	11.730	11.524	160.64	GLS Plot	CoRoT-7_harps_all-data_v1.dat	CoRoT-7_harps_all-data_v1.csv
CoRoT101332685	19:27:55.7771	+01:38:06.396	N/A	N/A	17.145	15.767	15.193	nan	GLS Plot	CoRoT101332685_harps_all-data_v1.dat	CoRoT101332685_harps_all-data_v1.csv
CoRoT101614469	19:29:56.7902	+00:05:53.100	N/A	4329.0	16.591	15.106	14.732	nan	GLS Plot	CoRoT101614469_harps_all-data_v1.dat	CoRoT101614469_harps_all-data_v1.csv
CoRoT102296945	06:09:33.1533	+04:41:12.323	G8III	4689.8	nan	nan	13.117	179.66	GLS Plot	CoRoT102296945_harps_all-data_v1.dat	CoRoT102296945_harps_all-data_v1.csv
CoRoT102352354	06:12:10.9897	+05:02:26.984	G8V	5026.2	nan	nan	13.863	458.04	GLS Plot	CoRoT102352354_harps_all-data_v1.dat	CoRoT102352354_harps_all-data_v1.csv
CoRoT102387834	06:13:50.7631	+05:18:08.670	G0III	4364.5	nan	nan	14.016	2838.49	GLS Plot	CoRoT102387834_harps_all-data_v1.dat	CoRoT102387834_harps_all-data_v1.csv
CoRoT102568803	06:40:33.1408	+00:16:58.890	K6III	4506.3	nan	nan	13.674	199.82	GLS Plot	CoRoT102568803_harps_all-data_v1.dat	CoRoT102568803_harps_all-data_v1.csv
CoRoT102615551	06:41:47.9941	-00:35:15.755	K9V	4173.0	16.028	14.650	14.142	nan	GLS Plot	CoRoT102615551_harps_all-data_v1.dat	CoRoT102615551_harps_all-data_v1.csv
CoRoT102755837	06:44:54.2956	-00:45:45.828	K4III	4916.7	nan	13.876	13.591	1329.43	GLS Plot	CoRoT102755837_harps_all-data_v1.dat	CoRoT102755837_harps_all-data_v1.csv
CoRoT104620638	18:36:04.8797	+09:26:13.180	N/A	N/A	15.341	14.600	14.441	836.61	GLS Plot	CoRoT104620638_harps_all-data_v1.dat	CoRoT104620638_harps_all-data_v1.csv
CoRoT110676555	06:51:59.0892	-05:36:48.873	G8V	5383.0	nan	13.953	13.839	nan	GLS Plot	CoRoT110676555_harps_all-data_v1.dat	CoRoT110676555_harps_all-data_v1.csv
CoRoT110752102	06:51:18.0473	-03:22:15.205	G8V	5296.0	nan	14.842	14.673	957.03	GLS Plot	CoRoT110752102_harps_all-data_v1.dat	CoRoT110752102_harps_all-data_v1.csv
CoRoT110838244	06:50:50.2643	-05:00:35.752	F8IV	5836.8	nan	nan	14.793	1709.99	GLS Plot	CoRoT110838244_harps_all-data_v1.dat	CoRoT110838244_harps_all-data_v1.csv
CoRoT110858446	06:53:25.0734	-05:42:47.045	F4V	5906.7	13.876	13.370	13.243	825.56	GLS Plot	CoRoT110858446_harps_all-data_v1.dat	CoRoT110858446_harps_all-data_v1.csv
CoRoT221699621	06:29:30.1511	+06:16:30.661	K0V	5854.2	nan	nan	13.653	733.14	GLS Plot	CoRoT221699621_harps_all-data_v1.dat	CoRoT221699621_harps_all-data_v1.csv
CoRoT604178318	06:08:34.4981	+06:35:17.006	N/A	5633.4	nan	nan	13.281	625.35	GLS Plot	CoRoT604178318_harps_all-data_v1.dat	CoRoT604178318_harps_all-data_v1.csv
CoRoT631423929	18:34:29.8722	+06:52:46.500	F8IV	N/A	nan	nan	12.618	555.68	GLS Plot	CoRoT631423929_harps_all-data_v1.dat	CoRoT631423929_harps_all-data_v1.csv
EPIC210558622	04:03:10.2791	+16:20:50.761	K7V	4430.4	nan	nan	12.008	100.22	GLS Plot	EPIC210558622_harps_all-data_v1.dat	EPIC210558622_harps_all-data_v1.csv
EPIC210744674	04:23:26.1644	+19:01:39.004	N/A	4496.4	14.350	13.320	12.918	545.55	GLS Plot	EPIC210744674_harps_all-data_v1.dat	EPIC210744674_harps_all-data_v1.csv
EPIC210968143	03:56:36.5759	+22:28:21.529	K5V	4110.9	15.180	13.860	13.229	134.71	GLS Plot	EPIC210968143_harps_all-data_v1.dat	EPIC210968143_harps_all-data_v1.csv
EPIC212460519	13:34:11.1700	-13:34:36.966	K7V	4309.7	14.150	12.920	12.401	103.25	GLS Plot	EPIC212460519_harps_all-data_v1.dat	EPIC212460519_harps_all-data_v1.csv
EPIC212469831	13:28:16.5034	-13:22:46.520	N/A	5367.0	nan	nan	nan	nan	GLS Plot	EPIC212469831_harps_all-data_v1.dat	EPIC212469831_harps_all-data_v1.csv
EPIC212572439	13:37:45.6202	-11:11:33.271	K2V	4947.8	14.140	13.180	13.052	287.74	GLS Plot	EPIC212572439_harps_all-data_v1.dat	EPIC212572439_harps_all-data_v1.csv
EPIC212645891	14:01:05.5233	-09:32:24.356	N/A	5543.0	13.460	12.730	12.572	404.51	GLS Plot	EPIC212645891_harps_all-data_v1.dat	EPIC212645891_harps_all-data_v1.csv
EPIC212735333	13:29:34.4834	-07:22:26.371	N/A	5440.2	12.880	12.160	11.994	249.39	GLS Plot	EPIC212735333_harps_all-data_v1.dat	EPIC212735333_harps_all-data_v1.csv
EPIC219409830	19:13:43.3439	-16:49:11.054	N/A	5418.7	13.070	12.350	12.276	313.05	GLS Plot	EPIC219409830_harps_all-data_v1.dat	EPIC219409830_harps_all-data_v1.csv
EPIC219503117	19:16:59.4110	-16:35:27.120	N/A	5441.3	nan	12.500	12.419	305.02	GLS Plot	EPIC219503117_harps_all-data_v1.dat	EPIC219503117_harps_all-data_v1.csv
EPIC219661601	19:13:41.2691	-16:10:20.171	N/A	N/A	12.660	11.980	11.813	306.06	GLS Plot	EPIC219661601_harps_all-data_v1.dat	EPIC219661601_harps_all-data_v1.csv
EPIC219722212	19:15:21.4166	-16:00:10.691	N/A	5140.2	13.720	12.900	12.766	321.83	GLS Plot	EPIC219722212_harps_all-data_v1.dat	EPIC219722212_harps_all-data_v1.csv
GJ1	00:05:24.4278	-37:21:26.504	M2V	N/A	10.022	8.562	7.682	4.35	GLS Plot	GJ1_harps_all-data_v1.dat	GJ1_harps_all-data_v1.csv
GJ10	00:11:15.8508	-15:28:04.740	F8VFe-0.8CH-0.5	N/A	5.380	4.890	4.691	17.99	GLS Plot	GJ10_harps_all-data_v1.dat	GJ10_harps_all-data_v1.csv
GJ1001	00:04:36.4374	-40:44:02.887	M4V	N/A	14.470	12.840	11.500	12.31	GLS Plot	GJ1001_harps_all-data_v1.dat	GJ1001_harps_all-data_v1.csv
GJ1002	00:06:43.1972	-07:32:17.024	M5.5V	N/A	nan	13.837	11.780	4.85	GLS Plot	GJ1002_harps_all-data_v1.dat	GJ1002_harps_all-data_v1.csv
GJ1008	00:19:05.5626	-09:57:53.469	M0V	N/A	11.246	9.897	9.312	20.20	GLS Plot	GJ1008_harps_all-data_v1.dat	GJ1008_harps_all-data_v1.csv
GJ1009	00:21:56.0447	-31:24:21.812	M1.5	3800.0	12.635	11.130	10.177	18.05	GLS Plot	GJ1009_harps_all-data_v1.dat	GJ1009_harps_all-data_v1.csv
GJ1012	00:28:39.4645	-06:39:49.181	dM4.0	N/A	13.710	12.230	10.895	13.37	GLS Plot	GJ1012_harps_all-data_v1.dat	GJ1012_harps_all-data_v1.csv
GJ1020	00:45:28.6874	-12:52:50.911	G0V	5842.5	6.760	6.150	5.981	32.45	GLS Plot	GJ1020_harps_all-data_v1.dat	GJ1020_harps_all-data_v1.csv
GJ1021	00:45:45.5929	-47:33:07.146	G3V	5895.5	6.418	5.794	5.619	14.99	GLS Plot	GJ1021_harps_all-data_v1.dat	GJ1021_harps_all-data_v1.csv
GJ1022	00:49:29.0600	-61:02:32.763	M2.0V	N/A	13.630	12.180	11.163	19.51	GLS Plot	GJ1022_harps_all-data_v1.dat	GJ1022_harps_all-data_v1.csv
GJ1032	01:09:12.5019	-24:41:20.916	M3	N/A	13.783	12.250	11.117	20.38	GLS Plot	GJ1032_harps_all-data_v1.dat	GJ1032_harps_all-data_v1.csv
GJ1043	02:12:48.0856	+21:12:39.577	F5V	6410.0	nan	nan	5.075	30.00	GLS Plot	GJ1043_harps_all-data_v1.dat	GJ1043_harps_all-data_v1.csv
GJ1044	02:13:12.1646	-21:11:47.237	K7V	N/A	11.195	9.831	9.260	23.75	GLS Plot	GJ1044_harps_all-data_v1.dat	GJ1044_harps_all-data_v1.csv
GJ1046	02:19:10.0761	-36:46:41.180	M2.5+V	N/A	13.149	11.595	10.529	15.20	GLS Plot	GJ1046_harps_all-data_v1.dat	GJ1046_harps_all-data_v1.csv
GJ1048	02:36:00.7756	-23:31:16.766	K3.5Vk:	4715.1	9.406	8.328	7.987	21.22	GLS Plot	GJ1048_harps_all-data_v1.dat	GJ1048_harps_all-data_v1.csv
GJ1050	02:39:50.7113	-34:07:57.562	M3	N/A	13.320	11.730	10.679	10.87	GLS Plot	GJ1050_harps_all-data_v1.dat	GJ1050_harps_all-data_v1.csv
GJ1056	03:08:22.4330	-60:10:21.177	K5Vk:	4366.4	10.487	9.259	8.800	21.94	GLS Plot	GJ1056_harps_all-data_v1.dat	GJ1056_harps_all-data_v1.csv
GJ1057	03:13:22.9175	+04:46:29.343	M4.5Ve	N/A	15.610	14.001	12.123	8.61	GLS Plot	GJ1057_harps_all-data_v1.dat	GJ1057_harps_all-data_v1.csv
GJ105A	02:36:04.9023	+06:53:12.431	K3V	N/A	6.810	nan	5.478	7.24	GLS Plot	GJ105A_harps_all-data_v1.dat	GJ105A_harps_all-data_v1.csv
GJ105B	02:36:15.2666	+06:52:17.924	M3.5V	N/A	13.280	nan	10.318	7.22	GLS Plot	GJ105B_harps_all-data_v1.dat	GJ105B_harps_all-data_v1.csv
GJ1061	03:35:59.6996	-44:30:45.725	M5.5V	N/A	14.980	13.070	10.989	3.67	GLS Plot	GJ1061_harps_all-data_v1.dat	GJ1061_harps_all-data_v1.csv
GJ1065	03:50:44.2892	-06:05:41.629	M3V	N/A	14.480	12.843	11.456	9.94	GLS Plot	GJ1065_harps_all-data_v1.dat	GJ1065_harps_all-data_v1.csv
GJ1066	03:56:36.3803	-41:20:36.849	K6Vk:	4274.9	10.085	8.847	8.370	17.57	GLS Plot	GJ1066_harps_all-data_v1.dat	GJ1066_harps_all-data_v1.csv
GJ1068	04:10:28.1233	-53:36:08.138	M4.5	N/A	15.510	13.580	11.914	7.11	GLS Plot	GJ1068_harps_all-data_v1.dat	GJ1068_harps_all-data_v1.csv
GJ1075	05:05:47.3723	-57:33:13.797	K7Vk	3968.5	10.347	8.932	8.285	11.70	GLS Plot	GJ1075_harps_all-data_v1.dat	GJ1075_harps_all-data_v1.csv
GJ1079	05:26:14.7381	-32:30:17.136	K2/3V	N/A	8.673	7.711	7.409	17.88	GLS Plot	GJ1079_harps_all-data_v1.dat	GJ1079_harps_all-data_v1.csv
GJ108	02:42:33.4664	-50:48:01.056	F8V	N/A	5.970	5.400	5.224	17.33	GLS Plot	GJ108_harps_all-data_v1.dat	GJ108_harps_all-data_v1.csv
GJ1084	05:47:18.2146	-48:31:30.503	K7.0	N/A	11.120	9.722	9.106	20.79	GLS Plot	GJ1084_harps_all-data_v1.dat	GJ1084_harps_all-data_v1.csv
GJ1085	05:48:34.9401	-04:05:40.719	G2V	5717.0	6.610	5.970	5.792	15.25	GLS Plot	GJ1085_harps_all-data_v1.dat	GJ1085_harps_all-data_v1.csv
GJ1089	06:31:18.3318	-51:49:33.446	F8VFe-0.4	6156.0	6.102	5.573	5.430	36.86	GLS Plot	GJ1089_harps_all-data_v1.dat	GJ1089_harps_all-data_v1.csv
GJ1094	07:02:42.9174	-06:47:57.214	K4V	N/A	9.442	8.351	7.985	19.11	GLS Plot	GJ1094_harps_all-data_v1.dat	GJ1094_harps_all-data_v1.csv
GJ1099	07:34:17.5861	+00:59:09.267	M2.5Ve	N/A	13.400	nan	10.870	15.60	GLS Plot	GJ1099_harps_all-data_v1.dat	GJ1099_harps_all-data_v1.csv
GJ1123	09:17:05.3224	-77:49:23.382	M4.5V	N/A	14.740	13.100	11.562	9.51	GLS Plot	GJ1123_harps_all-data_v1.dat	GJ1123_harps_all-data_v1.csv
GJ1126	09:30:28.0876	-32:06:12.253	K3.5V	N/A	9.311	8.319	7.993	19.63	GLS Plot	GJ1126_harps_all-data_v1.dat	GJ1126_harps_all-data_v1.csv
GJ1129	09:44:47.3475	-18:12:48.962	M3.5Ve	N/A	14.190	12.455	11.085	11.01	GLS Plot	GJ1129_harps_all-data_v1.dat	GJ1129_harps_all-data_v1.csv
GJ1132	10:14:51.7783	-47:09:24.189	M4	N/A	nan	nan	12.138	12.62	GLS Plot	GJ1132_harps_all-data_v1.dat	GJ1132_harps_all-data_v1.csv
GJ1135	10:41:09.3043	-36:53:43.665	M0.5	N/A	11.422	9.944	9.259	15.63	GLS Plot	GJ1135_harps_all-data_v1.dat	GJ1135_harps_all-data_v1.csv
GJ1137	10:44:20.9151	-33:34:37.286	K2IV-V	4997.1	9.270	8.330	8.042	28.54	GLS Plot	GJ1137_harps_all-data_v1.dat	GJ1137_harps_all-data_v1.csv
GJ1144	11:16:22.1464	-14:41:36.154	K7V	4017.7	11.397	9.980	9.328	18.27	GLS Plot	GJ1144_harps_all-data_v1.dat	GJ1144_harps_all-data_v1.csv
GJ1145	11:17:07.5069	-27:48:48.710	K7	4077.0	11.169	9.758	9.105	17.66	GLS Plot	GJ1145_harps_all-data_v1.dat	GJ1145_harps_all-data_v1.csv
GJ115	02:50:41.4220	-44:04:52.687	F8V	N/A	8.740	8.190	8.011	64.79	GLS Plot	GJ115_harps_all-data_v1.dat	GJ115_harps_all-data_v1.csv
GJ1161	12:35:33.5525	-34:52:54.906	K3.5Vk:	N/A	8.890	7.844	7.491	21.68	GLS Plot	GJ1161_harps_all-data_v1.dat	GJ1161_harps_all-data_v1.csv
GJ117	02:52:32.1281	-12:46:10.970	K1V	N/A	6.910	6.050	5.797	10.36	GLS Plot	GJ117_harps_all-data_v1.dat	GJ117_harps_all-data_v1.csv
GJ1177	13:47:42.1636	-32:25:48.140	K6+K7V	4237.3	nan	nan	nan	nan	GLS Plot	GJ1177_harps_all-data_v1.dat	GJ1177_harps_all-data_v1.csv
GJ118	02:52:22.1697	-63:40:47.320	M2.5	N/A	12.967	11.382	10.318	11.74	GLS Plot	GJ118_harps_all-data_v1.dat	GJ118_harps_all-data_v1.csv
GJ1191	15:22:36.6949	-10:39:40.054	K2V	4976.5	8.932	7.942	7.673	22.12	GLS Plot	GJ1191_harps_all-data_v1.dat	GJ1191_harps_all-data_v1.csv
