ARCFILE,Object,RA,DEC,Filter,ABMAGLIM,Wavelength,SNR,R (&lambda;/&delta;&lambda;),Product category,Instrument,Date Obs,Exptime,Collection,Product version,Run/Program ID,ORIGFILE,REFERENC
ADP.2014-09-26T16:54:45.113,SRa01_E1_0770,100.194649,9.25872,,,378.129..691.250,13.5,115000,SCIENCE.SPECTRUM,HARPS,2012-02-03T01:31:08.030,3600.0,HARPS,1,188.C-0779(A),HARPS.2012-02-03T01:31:08.031_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:51:16.443,SRa01_E1_0770,100.194934,9.25839,,,378.135..691.257,16.3,115000,SCIENCE.SPECTRUM,HARPS,2012-01-27T02:14:50.136,3600.01,HARPS,1,188.C-0779(A),HARPS.2012-01-27T02:14:50.135_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:54:08.453,SRa01_E1_0770,100.195181,9.2582,,,378.151..691.283,16.4,115000,SCIENCE.SPECTRUM,HARPS,2012-01-05T04:29:33.586,3600.01,HARPS,1,184.C-0639(A),HARPS.2012-01-05T04:29:33.588_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-25T15:37:32.743,SRa01_E1_0770,100.195465,9.25797,,,378.151..691.288,14.3,115000,SCIENCE.SPECTRUM,HARPS,2011-12-31T04:37:02.386,3600.01,HARPS,1,184.C-0639(A),HARPS.2011-12-31T04:37:02.386_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:54:35.510,SRa01_E1_0770,100.195889,9.25803,,,378.126..691.247,17.5,115000,SCIENCE.SPECTRUM,HARPS,2012-02-06T02:02:16.170,3600.01,HARPS,1,188.C-0779(A),HARPS.2012-02-06T02:02:16.169_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:54:23.617,SRa01_E1_0770,100.195984,9.25807,,,378.147..691.280,16.7,115000,SCIENCE.SPECTRUM,HARPS,2012-01-06T04:32:06.700,3600.01,HARPS,1,184.C-0639(A),HARPS.2012-01-06T04:32:06.701_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:55:11.433,SRa01_E1_0770,100.196162,9.25826,,,378.147..691.285,12.8,115000,SCIENCE.SPECTRUM,HARPS,2012-01-02T04:32:53.413,3600.0,HARPS,1,184.C-0639(A),HARPS.2012-01-02T04:32:53.414_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:42:23.433,SRa01_E1_0770,100.19696,9.25839,,,378.138..691.261,11.3,115000,SCIENCE.SPECTRUM,HARPS,2010-01-23T02:10:32.070,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-01-23T02:10:32.071_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:54:22.197,SRa01_E1_0770,100.197726,9.25804,,,378.149..691.284,14.9,115000,SCIENCE.SPECTRUM,HARPS,2012-01-03T04:48:44.796,3600.0,HARPS,1,184.C-0639(A),HARPS.2012-01-03T04:48:44.798_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:54:08.160,SRa01_E1_0770,100.198044,9.25801,,,378.149..691.286,11.8,115000,SCIENCE.SPECTRUM,HARPS,2012-01-01T05:02:03.316,3599.99,HARPS,1,184.C-0639(A),HARPS.2012-01-01T05:02:03.318_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-25T15:33:45.760,SRa01_E1_0770,100.198087,9.25753,,,378.154..691.291,16.8,115000,SCIENCE.SPECTRUM,HARPS,2011-12-28T05:26:39.583,3600.01,HARPS,1,184.C-0639(A),HARPS.2011-12-28T05:26:39.583_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:41:36.747,SRa01_E1_0770,100.19812,9.25832,,,378.137..691.256,9.6,115000,SCIENCE.SPECTRUM,HARPS,2010-01-27T02:39:30.036,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-01-27T02:39:30.036_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:43:45.700,SRa01_E1_0770,100.19841,9.25763,,,378.135..691.251,8.8,115000,SCIENCE.SPECTRUM,HARPS,2010-02-01T02:29:48.243,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-02-01T02:29:48.244_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-25T15:35:10.550,SRa01_E1_0770,100.198674,9.25737,,,378.151..691.291,17.6,115000,SCIENCE.SPECTRUM,HARPS,2011-12-29T05:48:10.603,3600.01,HARPS,1,184.C-0639(A),HARPS.2011-12-29T05:48:10.603_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-25T15:33:01.067,SRa01_E1_0770,100.198839,9.25751,,,378.154..691.289,11.8,115000,SCIENCE.SPECTRUM,HARPS,2011-12-30T05:37:15.336,3600.0,HARPS,1,184.C-0639(A),HARPS.2011-12-30T05:37:15.335_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-26T16:55:05.967,SRa01_E1_0770,100.199262,9.25838,,,378.145..691.279,15.6,115000,SCIENCE.SPECTRUM,HARPS,2012-01-07T05:15:01.633,3600.01,HARPS,1,184.C-0639(A),HARPS.2012-01-07T05:15:01.634_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:41:38.673,SRa01_E1_0770,100.19978,9.25771,,,378.133..691.248,9.4,115000,SCIENCE.SPECTRUM,HARPS,2010-02-04T03:19:51.540,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-02-04T03:19:51.541_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:42:21.603,SRa01_E1_0770,100.2001,9.25752,,,378.132..691.249,7.4,115000,SCIENCE.SPECTRUM,HARPS,2010-02-03T03:22:39.553,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-02-03T03:22:39.554_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:41:24.483,SRa01_E1_0770,100.20033,9.25764,,,378.132..691.252,9.9,115000,SCIENCE.SPECTRUM,HARPS,2010-01-31T03:20:46.200,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-01-31T03:20:46.201_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:41:13.543,SRa01_E1_0770,100.20102,9.25723,,,378.133..691.253,9.0,115000,SCIENCE.SPECTRUM,HARPS,2010-01-30T04:25:14.456,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-01-30T04:25:14.456_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2014-09-24T09:43:55.757,SRa01_E1_0770,100.20116,9.25742,,,378.128..691.250,8.8,115000,SCIENCE.SPECTRUM,HARPS,2010-02-02T03:50:03.916,1800.0,HARPS,1,184.C-0639(A),HARPS.2010-02-02T03:50:03.916_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,
ADP.2016-01-15T01:01:33.100,LHS1140,11.244287,-15.27628,,,378.153..691.218,4.5,115000,SCIENCE.SPECTRUM,HARPS,2016-01-14T00:42:23.933,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-01-14T00:42:23.934_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-01-24T01:03:49.393,LHS1140,11.245711,-15.27688,,,378.153..691.222,4.3,115000,SCIENCE.SPECTRUM,HARPS,2016-01-23T01:11:31.273,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-01-23T01:11:31.273_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-05-29T01:03:37.569,LHS1140,11.245876,-15.27464,,,378.216..691.339,4.5,115000,SCIENCE.SPECTRUM,HARPS,2016-05-28T09:46:33.586,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-05-28T09:46:33.585_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-01-28T01:02:16.970,LHS1140,11.246027,-15.27594,,,378.154..691.224,2.9,115000,SCIENCE.SPECTRUM,HARPS,2016-01-27T00:44:08.650,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-01-27T00:44:08.651_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-18T01:01:56.620,LHS1140,11.246228,-15.27735,,,378.148..691.215,3.2,115000,SCIENCE.SPECTRUM,HARPS,2015-12-17T03:41:13.693,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-12-17T03:41:13.692_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-07-15T01:01:52.437,LHS1140,11.246272,-15.27061,,,378.219..691.342,3.0,115000,SCIENCE.SPECTRUM,HARPS,2016-07-14T09:44:24.776,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-07-14T09:44:24.776_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-22T01:01:42.236,LHS1140,11.246381,-15.27688,,,378.148..691.214,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-12-21T03:02:01.170,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-21T03:02:01.171_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-07-15T01:01:52.431,LHS1140,11.246539,-15.27111,,,378.219..691.342,3.2,115000,SCIENCE.SPECTRUM,HARPS,2016-07-14T09:12:48.370,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-07-14T09:12:48.369_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-08T01:02:26.771,LHS1140,11.246565,-15.27674,,,378.150..691.216,3.6,115000,SCIENCE.SPECTRUM,HARPS,2018-01-07T02:11:07.056,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-07T02:11:07.057_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-05-27T01:03:39.627,LHS1140,11.246639,-15.27515,,,378.213..691.338,7.0,115000,SCIENCE.SPECTRUM,HARPS,2016-05-26T09:37:46.713,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-05-26T09:37:46.714_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-18T01:01:56.667,LHS1140,11.246743,-15.27612,,,378.148..691.215,5.1,115000,SCIENCE.SPECTRUM,HARPS,2015-12-17T03:10:43.183,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-12-17T03:10:43.183_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-23T01:01:34.902,LHS1140,11.246776,-15.27742,,,378.155..691.226,4.1,115000,SCIENCE.SPECTRUM,HARPS,2017-11-22T05:01:08.876,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-22T05:01:08.876_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-14T01:02:14.756,LHS1140,11.24685,-15.27809,,,378.155..691.232,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-11-13T05:37:16.713,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-13T05:37:16.712_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-25T01:01:42.852,LHS1140,11.246853,-15.27711,,,378.154..691.224,4.6,115000,SCIENCE.SPECTRUM,HARPS,2017-11-24T04:36:45.553,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-24T04:36:45.552_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-22T01:01:28.907,LHS1140,11.2469,-15.2772,,,378.155..691.226,4.6,115000,SCIENCE.SPECTRUM,HARPS,2017-11-21T05:11:18.210,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-21T05:11:18.210_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-04T01:01:50.214,LHS1140,11.246982,-15.27578,,,378.151..691.220,4.1,115000,SCIENCE.SPECTRUM,HARPS,2017-12-03T03:53:34.296,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-03T03:53:34.296_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-12T01:03:12.967,LHS1140,11.24705,-15.27744,,,378.158..691.234,4.1,115000,SCIENCE.SPECTRUM,HARPS,2017-11-11T05:42:10.586,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-11T05:42:10.585_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-30T01:01:32.547,LHS1140,11.24705,-15.27675,,,378.150..691.214,3.8,115000,SCIENCE.SPECTRUM,HARPS,2017-12-29T02:47:24.353,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-29T02:47:24.354_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-11T02:00:37.540,LHS1140,11.247137,-15.27555,,,378.151..691.217,4.3,115000,SCIENCE.SPECTRUM,HARPS,2015-12-10T03:16:20.606,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-12-10T03:16:20.606_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-06T01:01:36.515,LHS1140,11.247146,-15.27581,,,378.153..691.219,4.1,115000,SCIENCE.SPECTRUM,HARPS,2017-12-05T03:51:31.190,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-05T03:51:31.189_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-12T01:01:37.160,LHS1140,11.247161,-15.27684,,,378.152..691.217,3.3,115000,SCIENCE.SPECTRUM,HARPS,2018-01-11T01:35:56.336,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-11T01:35:56.335_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-08T01:02:26.769,LHS1140,11.247163,-15.27565,,,378.150..691.216,2.6,115000,SCIENCE.SPECTRUM,HARPS,2018-01-07T01:39:31.640,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-07T01:39:31.641_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-17T01:01:18.023,LHS1140,11.247207,-15.27765,,,378.160..691.230,7.1,115000,SCIENCE.SPECTRUM,HARPS,2017-11-16T05:11:38.550,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-16T05:11:38.551_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-21T01:01:52.413,LHS1140,11.247214,-15.27691,,,378.148..691.215,4.9,115000,SCIENCE.SPECTRUM,HARPS,2017-12-20T03:13:00.440,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-20T03:13:00.441_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-19T01:01:17.630,LHS1140,11.247267,-15.27572,,,378.148..691.215,3.0,115000,SCIENCE.SPECTRUM,HARPS,2015-12-18T02:59:37.846,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-12-18T02:59:37.847_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-08T01:02:26.781,LHS1140,11.247309,-15.2781,,,378.151..691.216,2.9,115000,SCIENCE.SPECTRUM,HARPS,2018-01-07T02:42:42.583,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-07T02:42:42.582_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-21T01:01:22.404,LHS1140,11.24736,-15.27709,,,378.156..691.227,6.4,115000,SCIENCE.SPECTRUM,HARPS,2017-11-20T04:59:37.233,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-20T04:59:37.232_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-01-18T01:02:54.673,LHS1140,11.247363,-15.2774,,,378.152..691.219,5.1,115000,SCIENCE.SPECTRUM,HARPS,2016-01-17T01:12:50.686,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-01-17T01:12:50.687_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-22T01:01:42.226,LHS1140,11.247421,-15.27588,,,378.148..691.215,4.5,115000,SCIENCE.SPECTRUM,HARPS,2017-12-21T02:30:25.446,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-21T02:30:25.445_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-01T02:01:28.970,LHS1140,11.247435,-15.27254,,,378.154..691.222,6.9,115000,SCIENCE.SPECTRUM,HARPS,2015-11-30T02:06:50.383,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-11-30T02:06:50.383_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-09T01:01:17.775,LHS1140,11.247449,-15.27658,,,378.150..691.216,2.2,115000,SCIENCE.SPECTRUM,HARPS,2018-01-08T02:09:45.176,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-08T02:09:45.175_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-10-01T01:04:26.791,LHS1140,11.247472,-15.27237,,,378.179..691.278,6.0,115000,SCIENCE.SPECTRUM,HARPS,2016-09-30T04:40:28.206,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-09-30T04:40:28.208_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-18T01:01:20.613,LHS1140,11.247521,-15.27719,,,378.159..691.229,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-11-17T05:02:16.416,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-17T05:02:16.417_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-12T01:01:37.152,LHS1140,11.247537,-15.27583,,,378.153..691.217,4.4,115000,SCIENCE.SPECTRUM,HARPS,2018-01-11T01:04:20.870,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-11T01:04:20.869_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-08-15T01:03:39.858,LHS1140,11.247562,-15.2706,,,378.203..691.324,7.3,115000,SCIENCE.SPECTRUM,HARPS,2016-08-14T07:10:47.116,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-08-14T07:10:47.118_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-20T01:01:42.704,LHS1140,11.247592,-15.27654,,,378.161..691.228,3.0,115000,SCIENCE.SPECTRUM,HARPS,2017-11-19T04:56:13.320,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-19T04:56:13.319_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-02T01:01:27.530,LHS1140,11.247619,-15.27717,,,378.152..691.221,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-12-01T04:00:06.016,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-01T04:00:06.017_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-01-03T01:02:18.562,LHS1140,11.247624,-15.2759,,,378.152..691.215,6.4,115000,SCIENCE.SPECTRUM,HARPS,2017-01-02T01:37:55.036,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-01-02T01:37:55.038_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-07-28T01:01:53.144,LHS1140,11.247629,-15.27231,,,378.216..691.337,2.5,115000,SCIENCE.SPECTRUM,HARPS,2017-07-27T08:21:14.346,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-07-27T08:21:14.348_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-01-18T01:02:54.490,LHS1140,11.247639,-15.27868,,,378.150..691.219,4.9,115000,SCIENCE.SPECTRUM,HARPS,2016-01-17T01:43:21.626,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-01-17T01:43:21.627_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-07-31T01:01:49.437,LHS1140,11.24765,-15.27206,,,378.212..691.335,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-07-30T08:43:43.270,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-07-30T08:43:43.271_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-12-31T01:02:05.213,LHS1140,11.247671,-15.27549,,,378.146..691.215,5.9,115000,SCIENCE.SPECTRUM,HARPS,2016-12-30T01:29:06.440,1800.0,HARPS,1,198.C-0838(A),HARPS.2016-12-30T01:29:06.440_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-09-13T06:46:50.825,LHS1140,11.247678,-15.27386,,,378.193..691.296,5.3,115000,SCIENCE.SPECTRUM,HARPS,2016-09-12T05:33:57.470,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-09-12T05:33:57.469_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-08-06T01:12:04.929,LHS1140,11.247726,-15.26985,,,378.213..691.331,5.5,115000,SCIENCE.SPECTRUM,HARPS,2016-08-05T09:31:08.606,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-08-05T09:31:08.608_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-11-28T02:00:57.050,LHS1140,11.247739,-15.27194,,,378.152..691.223,5.2,115000,SCIENCE.SPECTRUM,HARPS,2015-11-27T02:12:49.416,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-11-27T02:12:49.418_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-21T01:01:52.405,LHS1140,11.247774,-15.27603,,,378.148..691.215,5.3,115000,SCIENCE.SPECTRUM,HARPS,2017-12-20T02:41:24.456,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-20T02:41:24.455_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-10-27T08:24:21.637,LHS1140,11.247775,-15.27694,,,378.169..691.248,4.5,115000,SCIENCE.SPECTRUM,HARPS,2017-10-26T06:37:43.060,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-10-26T06:37:43.061_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-12-15T12:33:06.500,LHS1140,11.247779,-15.27568,,,378.150..691.216,6.6,115000,SCIENCE.SPECTRUM,HARPS,2015-12-14T03:10:50.610,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-12-14T03:10:50.609_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-08-31T01:03:02.561,LHS1140,11.247781,-15.27292,,,378.199..691.310,7.1,115000,SCIENCE.SPECTRUM,HARPS,2016-08-30T05:52:45.103,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-08-30T05:52:45.103_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-07-31T01:01:49.433,LHS1140,11.247784,-15.27243,,,378.211..691.335,6.6,115000,SCIENCE.SPECTRUM,HARPS,2017-07-30T08:12:06.366,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-07-30T08:12:06.365_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-11-29T02:00:53.750,LHS1140,11.247795,-15.27253,,,378.154..691.223,7.7,115000,SCIENCE.SPECTRUM,HARPS,2015-11-28T02:30:54.366,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-11-28T02:30:54.365_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-10-01T01:04:26.799,LHS1140,11.247836,-15.27216,,,378.181..691.278,6.5,115000,SCIENCE.SPECTRUM,HARPS,2016-09-30T05:12:05.086,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-09-30T05:12:05.085_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-09-25T01:03:03.629,LHS1140,11.247839,-15.2736,,,378.184..691.284,7.0,115000,SCIENCE.SPECTRUM,HARPS,2016-09-24T04:04:16.186,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-09-24T04:04:16.186_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2018-01-15T01:02:30.921,LHS1140,11.247845,-15.27619,,,378.157..691.218,1.9,115000,SCIENCE.SPECTRUM,HARPS,2018-01-14T01:22:14.946,1800.0,HARPS,1,0100.C-0884(A),HARPS.2018-01-14T01:22:14.946_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-07-23T01:01:34.719,LHS1140,11.247846,-15.27201,,,378.216..691.339,2.8,115000,SCIENCE.SPECTRUM,HARPS,2017-07-22T09:06:36.823,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-07-22T09:06:36.824_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-07-21T01:02:17.713,LHS1140,11.247847,-15.27254,,,378.218..691.341,2.2,115000,SCIENCE.SPECTRUM,HARPS,2017-07-20T09:34:44.153,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-07-20T09:34:44.153_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-08-10T01:02:04.044,LHS1140,11.247871,-15.27197,,,378.210..691.328,3.2,115000,SCIENCE.SPECTRUM,HARPS,2017-08-09T09:07:48.510,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-08-09T09:07:48.511_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-08-14T01:02:30.491,LHS1140,11.247874,-15.27054,,,378.207..691.325,7.5,115000,SCIENCE.SPECTRUM,HARPS,2016-08-13T09:05:32.056,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-08-13T09:05:32.056_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-09-02T01:03:45.983,LHS1140,11.24789,-15.27334,,,378.200..691.308,5.2,115000,SCIENCE.SPECTRUM,HARPS,2016-09-01T05:34:11.083,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-09-01T05:34:11.082_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-12-06T01:01:36.507,LHS1140,11.247893,-15.27523,,,378.153..691.219,4.7,115000,SCIENCE.SPECTRUM,HARPS,2017-12-05T03:18:47.740,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-12-05T03:18:47.740_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-12-30T01:01:46.095,LHS1140,11.247898,-15.27525,,,378.148..691.215,3.9,115000,SCIENCE.SPECTRUM,HARPS,2016-12-29T01:30:17.816,1800.0,HARPS,1,198.C-0838(A),HARPS.2016-12-29T01:30:17.817_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-11-19T01:01:25.327,LHS1140,11.247902,-15.2766,,,378.157..691.228,4.0,115000,SCIENCE.SPECTRUM,HARPS,2017-11-18T04:47:56.126,1800.0,HARPS,1,0100.C-0884(A),HARPS.2017-11-18T04:47:56.125_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2016-08-31T01:03:02.565,LHS1140,11.247902,-15.27255,,,378.200..691.310,6.4,115000,SCIENCE.SPECTRUM,HARPS,2016-08-30T06:25:43.933,1800.0,HARPS,1,191.C-0873(A),HARPS.2016-08-30T06:25:43.933_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2015-11-24T02:01:17.473,LHS1140,11.247913,-15.27291,,,378.155..691.226,5.5,115000,SCIENCE.SPECTRUM,HARPS,2015-11-23T02:59:06.380,1800.0,HARPS,1,191.C-0873(A),HARPS.2015-11-23T02:59:06.381_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
ADP.2017-08-06T01:01:55.120,LHS1140,11.247933,-15.27236,,,378.210..691.331,2.4,115000,SCIENCE.SPECTRUM,HARPS,2017-08-05T08:19:32.136,1800.0,HARPS,1,198.C-0838(A),HARPS.2017-08-05T08:19:32.137_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,
